ID_REF	CT18	CT19	CT20	CT21	CT22	CT23	CT24	CT25	CT26	CT27	CT28	CT29	CT30	CT31	CT32	CT33	CT34	CT35	CT36	CT37	CT38	CT39	CT40	CT41	CT42	CT43	CT44	CT45	CT46	CT47	CT48	CT49	CT50	CT51	CT52	CT53	CT54	CT55	CT56	CT57	CT58	CT59	CT60	CT61	CT62	CT63	CT64	CT65
1422973_a_at	365074.6	296986.7	238531.4	189026.1	201167.7	107507.3	97810.0	82960.6	86512.7	37027.5	60469.6	77609.9	41784.5	54448.5	49559.1	137690.6	110835.5	215246.1	174224.0	209621.1	258814.3	333237.1	368331.7	282040.6	284094.4	239633.4	261235.9	196720.5	128563.2	78955.6	82590.8	80201.1	28480.6	55712.0	55928.2	70001.8	39781.1	26594.7	85166.5	120938.4	184703.9	124550.7	128479.4	293800.2	320406.5	373531.8	354018.9	322443.6
1424737_at	380218.0	343252.3	310615.1	262897.1	295162.0	193762.5	179525.3	156284.4	174028.3	96069.4	125272.1	139506.8	78584.7	121196.6	107195.4	228897.6	189824.2	288060.5	253709.0	277616.2	311175.4	359386.1	362331.1	324184.1	355312.0	322451.2	361057.5	285863.1	214764.3	149100.2	146552.2	149646.1	59533.2	108718.1	104983.7	131858.2	76685.4	49720.4	158593.5	205196.2	276649.7	209699.0	240107.8	388500.6	365341.5	413132.3	414949.7	374832.3
1423439_at	100769.3	146963.3	175148.8	282768.9	164087.2	135988.6	69406.5	42472.5	105038.9	216685.2	154270.5	214447.0	231447.8	232253.1	307171.9	340457.3	268592.6	297084.9	386440.5	387874.3	166635.0	89431.0	117816.3	205723.3	111466.2	170920.4	160518.6	185930.2	198602.4	173912.8	82496.5	80350.2	136209.1	112065.4	154894.3	217104.6	243800.3	240464.5	246911.6	290756.7	311767.4	359332.5	309854.9	161404.5	64886.9	100399.6	98365.2	98250.7
1437689_x_at	625110.9	607601.7	589863.2	626376.2	674066.0	664303.2	681449.9	626677.5	645944.9	638912.3	569087.9	641494.5	673430.4	621150.7	682350.5	655622.3	640773.5	635773.2	688045.4	697299.3	646262.3	623498.6	664607.0	704079.9	646873.5	686190.4	577285.8	682783.6	621813.5	626929.7	625056.9	665354.8	668412.5	582337.9	591727.2	659806.5	704079.9	660987.5	664791.2	692084.6	665354.8	678432.4	549198.0	271919.9	387862.6	410381.9	440464.0	531039.4
1455789_x_at	282674.5	229269.6	174439.7	150383.2	206312.9	264708.6	348086.4	307582.4	296050.6	222977.6	234321.7	219637.2	225424.2	263763.0	246645.6	276814.2	251065.5	285499.3	271201.9	364914.0	408657.6	497902.0	472008.9	345669.6	320203.8	205214.1	212477.7	181764.5	198006.4	284286.1	311698.0	270016.7	334369.4	278607.4	191326.1	229559.6	194555.4	221144.5	234250.1	281744.2	307120.8	233512.4	356604.9	321391.0	433238.7	488616.6	449432.7	405512.1
1416055_at	87.1	89.0	102.1	91.2	87.9	89.8	84.6	530957.3	402.7	120.2	90.5	103.8	96.2	92.1	85.1	94.4	107.7	92.0	93.8	92.8	104.1	98.0	100.2	96.9	93.7	95.3	108.9	97.7	255582.3	106.7	95.3	94.9	92.1	94.9	95.8	91.7	88.4	97.0	94.5	97.3	100.2	94.5	98.9	115.8	130.5	105.6	109.8	127.8
1423954_at	444345.7	438051.7	456592.6	437769.8	499135.4	499720.8	454818.0	409544.8	481440.4	540285.8	418039.5	427425.0	462872.6	489484.5	504983.2	471567.2	423646.8	453315.2	482045.7	461129.6	431383.6	401525.9	440112.7	476706.6	446198.4	457431.3	399735.2	439625.3	337371.5	445244.9	405405.3	421942.1	440247.2	415070.3	469242.9	499674.8	506989.0	443701.4	446217.4	475872.5	440274.5	496185.1	435139.8	151596.9	199047.7	233003.3	226741.4	261089.2
1422230_s_at	319949.2	296964.5	312054.9	267876.1	192457.8	172142.9	148840.0	128416.0	103927.2	156793.4	126146.9	173575.7	242628.4	250654.0	292863.2	315723.3	355124.3	346415.2	403760.9	387391.6	370662.3	385932.9	335603.0	351184.4	349531.3	324769.7	272963.8	258490.2	197891.2	214431.8	206144.4	167813.9	146286.9	171573.6	157049.2	245543.2	247437.1	215590.6	343234.3	300007.3	365153.4	339311.9	338108.8	260072.8	324642.4	281853.8	318666.8	281854.9
1418189_s_at	322675.6	231646.7	215126.3	243221.6	290103.7	294016.0	339172.9	168163.5	336752.5	334570.0	263034.5	128368.0	111168.7	282026.7	273312.9	276282.5	105821.8	99951.0	81552.4	201408.5	155891.9	144252.9	96180.6	59987.3	179515.0	178521.1	229127.5	167313.7	247075.6	195521.7	183543.1	244276.0	254398.1	159613.0	147276.8	189352.3	173000.8	176187.9	128826.4	170539.8	163097.6	155964.6	181518.8	127394.4	104103.8	128368.0	129139.4	81970.0
1416064_a_at	243252.2	239567.4	217807.2	195086.8	208166.8	216554.0	313861.5	334126.1	394436.3	308857.5	287287.4	252828.2	195978.1	150305.6	150113.0	196916.6	215728.2	242861.7	211353.5	225918.3	284810.8	337963.3	289283.9	277557.4	341620.0	278037.2	223358.8	204874.9	149898.7	206209.4	286885.6	312001.6	496357.2	418367.4	233211.1	207088.6	157886.1	252422.5	158126.7	195346.2	212107.0	204178.6	235125.6	178776.1	250963.8	298035.3	325334.0	283196.7
